tempo,referencia,velocidade,pwm,erro
2.12,1,-0.0100504,20.201,1.01005
2.13,1,0.0154324,19.6914,0.984568
2.14,1,0.038367,19.2327,0.961633
2.15,1,0.066908,18.6618,0.933092
2.16,1,0.085395,18.2921,0.914605
2.17,1,0.103933,17.9213,0.896067
2.18,1,0.151096,16.9781,0.848904
2.19,1,0.194842,16.1032,0.805158
2.2,1,0.234913,15.3017,0.765087
2.21,1,0.271877,14.5625,0.728123
2.22,1,0.302445,13.9511,0.697555
2.23,1,0.325256,13.4949,0.674744
2.24,1,0.375464,12.4907,0.624536
2.25,1,0.425251,11.495,0.574749
2.26,1,0.461559,10.7688,0.538441
2.27,1,0.497636,10.0473,0.502364
2.28,1,0.531606,9.36788,0.468394
2.29,1,0.565379,8.69242,0.434621
2.3,1,0.621852,7.56296,0.378148
2.31,1,0.673978,6.52044,0.326022
2.32,1,0.716891,5.66218,0.283109
2.33,1,0.757713,4.84574,0.242287
2.34,1,0.797753,4.04494,0.202247
2.35,1,0.824789,3.50423,0.175211
2.36,1,0.881699,2.36603,0.118301
2.37,1,0.927818,1.44364,0.0721822
2.38,1,0.973725,0.525502,0.0262751
2.39,1,1.01134,-0.226824,-0.0113412
2.4,1,1.0463,-0.92592,-0.046296
2.41,1,1.07836,-1.56711,-0.0783553
2.42,1,1.14209,-2.84173,-0.142087
2.43,1,1.19384,-3.87689,-0.193844
2.44,1,1.24073,-4.81453,-0.240727
2.45,1,1.28512,-5.70241,-0.285121
2.46,1,1.32228,-6.4455,-0.322275
2.47,1,1.35391,-7.07829,-0.353914
2.48,1,1.40907,-8.18134,-0.409067
2.49,1,1.4586,-9.1721,-0.458605
2.5,1,1.50269,-10.0538,-0.502689
2.51,1,1.54196,-10.8393,-0.541964
2.52,1,1.58331,-11.6662,-0.583312
2.53,1,1.61743,-12.3485,-0.617426
2.54,1,1.68071,-13.6141,-0.680705
2.55,1,1.73036,-14.6071,-0.730357
2.56,1,1.77654,-15.5309,-0.776543
2.57,1,1.81971,-16.3942,-0.819711
2.58,1,1.85936,-17.1872,-0.859362
2.59,1,1.89325,-17.865,-0.893248
2.6,1,1.95112,-19.0225,-0.951123
2.61,1,2.00751,-20.1502,-1.00751
2.62,1,2.05256,-21.0512,-1.05256
2.63,1,2.0939,-21.8781,-1.0939
2.64,1,2.13771,-22.7543,-1.13771
2.65,1,2.17474,-23.4948,-1.17474
2.66,1,2.20467,-24.0934,-1.20467
2.67,1,2.2329,-24.658,-1.2329
2.68,1,2.28859,-25.7718,-1.28859
2.69,1,2.33491,-26.6981,-1.33491
2.7,1,2.37419,-27.4839,-1.37419
2.71,1,2.41315,-28.2631,-1.41315
2.72,1,2.44982,-28.9963,-1.44982
2.73,1,2.45973,-29.1947,-1.45973
2.74,1,2.46666,-29.3332,-1.46666
2.75,1,2.46999,-29.3999,-1.46999
2.76,1,2.47479,-29.4959,-1.47479
2.77,1,2.47942,-29.5883,-1.47942
2.78,1,2.48377,-29.6755,-1.48377
2.79,1,2.4835,-29.6699,-1.4835
2.8,1,2.48825,-29.7649,-1.48825
2.81,1,2.45964,-29.1929,-1.45964
2.82,1,2.4342,-28.684,-1.4342
2.83,1,2.4174,-28.3481,-1.4174
2.84,1,2.39889,-27.9777,-1.39889
2.85,1,2.35474,-27.0948,-1.35474
2.86,1,2.31861,-26.3722,-1.31861
2.87,1,2.2843,-25.6859,-1.2843
2.88,1,2.22743,-24.5486,-1.22743
2.89,1,2.17596,-23.5191,-1.17596
2.9,1,2.09815,-21.963,-1.09815
2.91,1,2.02952,-20.5905,-1.02952
2.92,1,1.96176,-19.2352,-0.96176
2.93,1,1.87849,-17.5699,-0.878495
2.94,1,1.80576,-16.1151,-0.805756
2.95,1,1.71301,-14.2603,-0.713014
2.96,1,1.62265,-12.4529,-0.622646
2.97,1,1.54531,-10.9063,-0.545314
2.98,1,1.44974,-8.99477,-0.449739
2.99,1,1.35932,-7.1864,-0.35932
3,1,1.25517,-5.10332,-0.255166
3.01,1,1.16083,-3.21654,-0.160827
3.02,1,1.07512,-1.50244,-0.075122
3.03,1,0.96681,0.663805,0.0331903
3.04,1,0.868729,2.62542,0.131271
3.05,1,0.777556,4.44888,0.222444
3.06,1,0.6993,6.014,0.3007
3.07,1,0.602192,7.95615,0.397808
3.08,1,0.517095,9.65809,0.482905
3.09,1,0.434408,11.3118,0.565592
3.1,1,0.339112,13.2178,0.660888
3.11,1,0.245845,15.0831,0.754155
3.12,1,0.137727,17.2455,0.862273
3.13,1,0.042821,19.1436,0.957179
3.14,1,-0.0438944,20.8779,1.04389
